,genres,title,price,id,year
88407,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,2006
88408,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,2006
88409,['Strategy'],Rome: Total War™ - Collection,9.99,4760,2004
88410,['Strategy'],Rome: Total War™ - Alexander,4.99,4770,2006
88411,['Casual'],Mystery Case Files: Madame Fate®,6.99,50970,2007
88414,['Action'],Manhunt,9.99,12130,2004
88415,['Racing'],Midnight Club 2,9.99,12160,2003
88416,['Action'],Max Payne 2: The Fall of Max Payne,9.99,12150,2003
88417,"['Action', 'Adventure']",Tomb Raider: Legend,6.99,7000,2006
88418,['Action'],Max Payne,9.99,12140,2001
88419,['Strategy'],Command &amp; Conquer: Red Alert 3,19.99,17480,2008
88420,['Casual'],PuzzleQuest: Challenge of the Warlords,9.99,12500,2007
88421,"['RPG', 'Casual', 'Adventure']",Culpa Innata,9.99,12310,2007
88422,['Strategy'],Prison Tycoon 3™: Lockdown,9.99,12510,2007
88423,"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,9.99,12530,2007
88424,['Racing'],18 Wheels of Steel: American Long Haul,9.99,12520,2007
88425,['Action'],Conflict: Denied Ops,5.99,8100,2008
88426,['Action'],ARMA: Combat Operations,7.99,2780,2007
88427,['Simulation'],Tycoon City: New York,9.99,9730,2006
88428,['Action'],Desperados 2: Cooper's Revenge,9.99,9710,2006
88429,"['Action', 'Adventure']",Death to Spies,4.99,9800,2007
88430,['Action'],Act of War: High Treason,2.99,9760,2006
88431,"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,19.99,2700,2006
88432,['Action'],Act of War: Direct Action,2.99,2710,2005
88433,['Action'],Unreal 2: The Awakening,14.99,13200,2003
88434,['Action'],Unreal Gold,9.99,13250,1998
88435,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,4.99,13000,2008
88436,['Action'],Tom Clancy's Splinter Cell®,9.99,13560,2003
88437,['Action'],Far Cry®,9.99,13520,2004
88438,['Action'],Unreal Tournament: Game of the Year Edition,9.99,13240,2000
88439,['Action'],Tom Clancy's Rainbow Six® Vegas,9.99,13540,2006
88440,['Simulation'],Silent Hunter® III,9.99,15210,2005
88441,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,9.99,16180,2008
88442,['Casual'],Mystery P.I.™ - The Vegas Heist,4.99,3520,2008
88443,['Casual'],Luxor,9.99,15970,2008
88444,['Casual'],Reaxxion,9.99,15950,2008
88445,['Casual'],Little Farm,9.99,15960,2008
88446,['Casual'],7 Wonders II,9.99,15900,2008
88447,['Casual'],Luxor Amun Rising,9.99,15910,2005
88448,['Casual'],Luxor 3,9.99,15930,2007
88449,['Simulation'],Petz® Horsez® 2,9.99,15160,2007
88450,['Casual'],Luxor 2,9.99,15920,2005
88451,"['Action', 'Adventure']",Rayman Raving Rabbids™,9.99,15080,2007
88452,['Simulation'],Silent Hunter®: Wolves of the Pacific,9.99,15200,2007
88453,['Simulation'],IL-2 Sturmovik: 1946,9.99,15320,2006
88454,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240,2008
88455,['Adventure'],Bone: Out From Boneville,9.99,8310,2005
88456,['Racing'],Midnight Outlaw: 6 Hours to SunUp,9.99,12600,2005
88457,['Adventure'],Bone: The Great Cow Race,9.99,8320,2006
88458,['Racing'],Sprint Cars Road to Knoxville,9.99,12590,2008
88460,['Simulation'],Ride! Carnival Tycoon,9.99,12560,2007
88462,['Casual'],Mahjongg Investigations: Under Suspicion,9.99,12540,2007
88463,['Adventure'],Dracula Origin,9.99,11050,2008
88465,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,9.99,11040,2008
88466,"['Adventure', 'Indie']",Eternity's Child,4.99,19500,2008
88467,"['Simulation', 'Strategy']",Pacific Storm Allies,7.99,11260,2007
88468,"['Action', 'Indie']",Tank Universal,4.99,19200,2008
88469,['Racing'],FlatOut: Ultimate Carnage,19.99,12360,2008
88470,['Adventure'],Oddworld: Abe's Exoddus®,2.99,15710,1998
88471,['Adventure'],Oddworld: Abe's Oddysee®,2.99,15700,1997
88472,['Racing'],GTR Evolution Expansion Pack for RACE 07,7.99,8660,2008
88473,['Strategy'],X-COM: Enforcer,4.99,7770,2001
88474,['Strategy'],X-COM: Apocalypse,4.99,7660,1997
88475,['Strategy'],X-COM: UFO Defense,4.99,7760,1993
88476,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,9.99,20510,2008
88477,['Action'],Crysis Warhead®,19.99,17330,2008
88478,['Action'],Crysis,19.99,17300,2007
88479,['Strategy'],X-COM: Interceptor,4.99,7730,1998
88480,"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,9.99,20900,2008
88481,['Indie'],Multiwinia,9.99,1530,2008
88482,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690,2008
88483,"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2.49,17120,2008
88484,['Strategy'],Sid Meier's Civilization IV: Colonization,19.99,16810,2008
88485,['Action'],Tom Clancy's Rainbow Six® 3 Gold,9.99,19830,2003
88486,"['Action', 'Adventure']",LEGO Batman,19.99,21000,2008
88487,"['Simulation', 'Strategy']",City Life 2008,9.99,4460,2008
88488,"['RPG', 'Strategy']",Hinterland,9.99,17140,2008
88489,['Action'],Brothers in Arms: Hell's Highway™,9.99,15390,2008
88490,"['Indie', 'Casual']",Gravitron 2,4.99,21300,2008
88491,['Racing'],Xpand Rally Xtreme,4.99,3050,2006
88492,['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,9.99,15380,2006
88493,['Action'],Brothers in Arms: Earned in Blood™,9.99,19800,2005
88494,['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,9.99,15370,2007
88495,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,19.99,19930,2008
88496,['Casual'],Brain Spa,9.99,15350,2007
88497,['Action'],The Sum of All Fears,9.99,19810,2002
88498,['Casual'],Peggle™ Nights,4.99,3540,2008
88499,['Indie'],World of Goo,9.99,22000,2008
88500,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,15.99,2820,2008
88501,['Action'],Mare Nostrum,Free,1230,2008
88502,"['Casual', 'Indie']",Spectraball,4.99,18300,2008
88503,"['Indie', 'Casual', 'Sports']",Galactic Bowling,19.99,20200,2008
88504,"['Action', 'Adventure']",Bully: Scholarship Edition,14.99,12200,2008
88505,['Action'],Far Cry® 2: Fortune's Edition,9.99,19900,2008
88506,"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,4.99,11240,2008
88507,['Simulation'],PRR Wagon Pack 01,4.99,256522,2009
88508,['Simulation'],"Class 421 London South East ""Jaffa Cake""",4.99,275144,2009
88509,['Simulation'],ATSF Wagon Pack 01,4.99,256521,2009
88510,['Simulation'],GP20 Union Pacific Add-on Livery,4.99,222569,2009
88511,['Simulation'],UK Van Wagon Pack,4.99,256535,2009
88512,['Simulation'],CSX SD70MAC Add-on Livery,4.99,256611,2009
88513,['Simulation'],CSX ES44AC Add-on Livery,4.99,256576,2009
88514,['Action'],Saints Row 2,9.99,9480,2009
88515,['Action'],Dead Space,19.99,17470,2008
88516,['RPG'],Rise of the Argonauts,9.99,12770,2008
88517,"['Action', 'Adventure']",Mirror's Edge™,19.99,17410,2009
88518,"['Indie', 'Strategy']",Defense Grid: The Awakening,9.99,18500,2008
88519,['Action'],F.E.A.R. 2: Project Origin,14.99,16450,2009
88520,"['Strategy', 'Indie']",Harvest: Massive Encounter,7.99,15400,2008
88521,"['Indie', 'Strategy']",Mayhem Intergalactic,9.99,18600,2007
88522,"['Action', 'Indie']",Larva Mortus,4.99,11340,2009
88523,['Strategy'],Knights of Honor,9.99,25830,2005
88524,"['Action', 'Adventure', 'Strategy']",Ceville,5.99,23460,2009
88525,['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,2.99,10600,2009
88526,['Action'],Watchmen: The End is Nigh,4.99,21010,2009
88527,"['Action', 'Adventure', 'Indie']",Penumbra Overture,9.99,22180,2007
88528,['Action'],Unreal Tournament 3 Black,19.99,13210,2007
88529,['RPG'],Drakensang,9.99,12640,2009
88531,"['Indie', 'Simulation']",The Graveyard,4.99,27020,2008
88532,['Racing'],Burnout Paradise: The Ultimate Box,19.99,24740,2009
88534,"['Action', 'Indie']",The Maw,9.99,26000,2009
88535,"['Action', 'Indie']",The Maw: River Redirect,1.25,26006,2009
88536,"['Action', 'Indie']",The Maw: Brute Force,1.25,26005,2009
88537,"['Casual', 'Indie']",Obulis,4.99,11330,2009
88538,['Indie'],Space Giraffe,9.99,27800,2009
88539,"['Simulation', 'Strategy']",Codename: Panzers - Cold War,14.99,9850,2009
88540,['Casual'],Escape Rosecliff Island,4.99,3600,2009
88541,"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,19.99,29580,2006
88542,"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,19.99,29540,2005
88543,"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,19.99,29560,2006
88544,"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,29.99,29570,2008
88545,['Casual'],Puzzle Kingdoms,14.99,23700,2009
88546,['Casual'],Samantha Swift and the Golden Touch,9.99,16060,2009
88547,['RPG'],Two Worlds Epic Edition,9.99,1930,2009
88548,['Strategy'],Helldorado,9.99,18470,2009
88549,"['Action', 'Adventure', 'RPG']",X-Blades,9.99,7510,2009
88550,"['Action', 'Indie']",Zeno Clash,9.99,22200,2009
88551,['Indie'],The Maw: Speeder Lane,1.25,26007,2009
88552,"['RPG', 'Strategy']",King's Bounty: The Legend,6.99,25900,2008
88553,"['Casual', 'Simulation']",Virtual Families,9.99,16200,2009
88554,['Racing'],Death Track®: Resurrection,2.99,7840,2009
88555,"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,4.99,8890,2005
88556,"['RPG', 'Strategy']",Freedom Force,4.99,8880,2002
88557,"['Indie', 'Simulation', 'Strategy']",Light of Altair,14.99,34500,2009
88558,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,Free,1280,2009
88559,"['Action', 'Adventure']",Prototype™,19.99,10150,2009
88560,"['Adventure', 'Indie']",Blueberry Garden,4.99,29160,2012
88561,['Strategy'],Port Royale 2,4.99,12470,2004
88563,['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99,22330,2007
88564,['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,22320,2002
88566,['Adventure'],Ankh 2: Heart of Osiris,4.99,12440,2007
88567,['Simulation'],Armored Fist 3,9.99,32710,1999
88568,['Simulation'],MiG-29 Fulcrum,9.99,32740,1998
88569,['Strategy'],BC Kings,4.99,12460,2008
88570,['Action'],Call of Juarez®: Bound in Blood,9.99,21980,2009
88571,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,6.99,31860,2007
88572,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,6.99,31900,2006
88573,['Adventure'],Nancy Drew®: The Phantom of Venice,6.99,31920,2008
88574,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,6.99,31930,2007
88575,"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,Free to Play,35800,2008
88576,"['Simulation', 'Sports']",Hunting Unlimited 2010,9.99,12690,2009
88577,['Adventure'],Tales of Monkey Island Complete Pack,19.99,31170,2009
88578,['Action'],Street Fighter® IV,19.99,21660,2009
88579,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,9.99,6080,2007
88580,['Adventure'],Indiana Jones® and the Fate of Atlantis™,5.99,6010,1992
88581,['Action'],Armed and Dangerous®,5.99,6090,2003
88582,['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",9.99,6060,2005
88583,['Adventure'],Indiana Jones® and the Last Crusade™,5.99,32310,1989
88584,"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,19.99,32330,2008
88585,['Adventure'],The Secret of Monkey Island: Special Edition,9.99,32360,2009
88586,['Strategy'],Warfare,12.99,35300,2008
88587,"['Action', 'Racing']",Clutch,9.99,35310,2009
88588,['Adventure'],Nancy Drew®: Ransom of the Seven Ships,6.99,31980,2009
88590,['Sports'],3D Ultra™ Minigolf Adventures,9.99,10140,2006
88591,['Adventure'],King's Quest™ Collection,19.99,10100,2006
88592,['Action'],TimeShift™,19.99,10130,2007
88593,['Adventure'],Space Quest™ Collection,19.99,10110,2006
88594,['Action'],Killing Floor Outbreak Character Pack,7.99,1256,2009
88595,"['Action', 'Casual']",Aces of the Galaxy™,9.99,10120,2008
88596,"['Simulation', 'Strategy']",Tropico Reloaded,6.99,33520,2009
88597,['Casual'],Mystery P.I. - Lost in Los Angeles,4.99,3610,2009
88598,['Action'],Bionic Commando: Rearmed,9.99,21680,2008
88599,"['Action', 'Adventure']",Bionic Commando,9.99,21670,2009
88600,['Action'],Watchmen: The End is Nigh Part 2,4.99,21030,2009
88601,"['Action', 'Indie']",Foreign Legion: Buckets of Blood,4.99,36000,2009
88602,"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,9.99,32370,2003
88603,"['Indie', 'Casual']",Osmos,9.99,29180,2009
88604,['RPG'],Fallout 2: A Post Nuclear Role Playing Game,9.99,38410,1998
88605,['Strategy'],Fallout Tactics: Brotherhood of Steel,9.99,38420,2001
88606,['Action'],Kingpin — Life of Crime,9.99,38430,1999
88609,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,19.99,31180,2009
88610,['Casual'],Jewel Quest Pack,19.99,37960,2009
88611,['Casual'],Mahjong Quest Collection,9.99,38000,2009
88612,"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",4.99,37400,2009
88613,['Action'],Tom Clancy's Splinter Cell Chaos Theory®,9.99,13570,2005
88614,"['Action', 'Racing']",Crash Time 2,9.99,11390,2009
88615,['Strategy'],XIII Century – Gold Edition,4.99,34420,2009
88616,['Simulation'],World of Zoo,14.99,43100,2009
88617,['Simulation'],18 Wheels of Steel: Extreme Trucker,9.99,33730,2009
88618,"['Action', 'Adventure']",Mini Ninjas,9.99,35000,2009
88619,['Casual'],Freeze Tag Fun Pack #2,19.99,39392,2009
88620,['Casual'],Freeze Tag Fun Pack #1,19.99,39391,1999
88621,"['Adventure', 'Casual', 'Indie']",Windosill,2.99,37600,2009
88622,['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,24.99,24029,2009
88623,"['Adventure', 'Casual']",Midnight Mysteries,9.99,32140,2009
88624,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,19.99,31190,2009
88625,['Action'],Joint Operations: Combined Arms Gold,19.99,32770,2009
88626,['Simulation'],Train Simulator: US Loco &amp; Asset Pack,17.99,208306,2009
88627,['Simulation'],DinerTown Tycoon,9.99,37300,2009
88628,['Simulation'],Train Simulator: European Loco &amp; Asset Pack,19.99,208300,2009
88629,['RPG'],Risen,9.99,40300,2009
88630,['Casual'],Flora's Fruit Farm,3.99,35070,2009
88631,['Strategy'],Empire: Total War™ - The Warpath Campaign,9.99,10606,2009
88632,"['Adventure', 'Indie']",Machinarium,9.99,40700,2009
88633,['Action'],Medal of Honor: Airborne,9.99,24840,2007
88634,['Racing'],Need for Speed: Shift,19.99,24870,2009
88635,['RPG'],Torchlight,14.99,41500,2009
88636,['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,19.99,24800,2009
88637,['Strategy'],The Stronghold Collection,19.99,901735,2009
88638,['Strategy'],East India Company: Privateer,4.99,42800,2009
88639,['Action'],Painkiller: Resurrection,9.99,39560,2009
88640,"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,14.99,39550,2009
88641,['Adventure'],Secret Files: Tunguska,9.99,40330,2009
88642,['Strategy'],Rush for Berlin Gold,4.99,40320,2009
88643,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,19.99,31200,2009
88644,['Strategy'],Men of War: Red Tide,4.99,3130,2009
88645,"['Action', 'Indie']",Hammerfight,4.99,41100,2009
88646,"['Action', 'RPG']",SpellForce - Platinum Edition,9.99,39540,2009
88647,['Strategy'],Massive Assault: Phantom Renaissance,9.99,34640,2005
88648,['Strategy'],Massive Assault,9.99,34630,2003
88650,"['Action', 'Indie']",Serious Sam HD: The First Encounter,14.99,41000,2009
88651,['Adventure'],Secret Files 2: Puritas Cordis,9.99,40340,2009
88652,['RPG'],Dragon Age: Origins,19.99,17450,2009
88653,"['Action', 'RPG', 'Indie']",Aztaka,4.99,37100,2009
88654,"['Indie', 'Casual']",Magnetis,1.99,37500,2009
88655,['Strategy'],For The Glory: A Europa Universalis Game,9.99,42810,2009
88656,['Action'],Call of Duty®: Modern Warfare® 2,19.99,10180,2009
88657,['Adventure'],LEGO® Star Wars™ - The Complete Saga,19.99,32440,2009
88658,['RPG'],Overlord™,4.99,11450,2007
88659,['RPG'],Overlord™: Raising Hell,9.99,12710,2008
88660,['Strategy'],Command &amp; Conquer 3: Tiberium Wars,14.99,24790,2007
88661,"['Indie', 'Casual']",Yumsters 2: Around the World,4.99,29120,2008
88662,['Strategy'],Command &amp; Conquer 3: Kane's Wrath,19.99,24810,2009
88663,"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,14.99,41800,2009
88664,['Simulation'],Wings of Prey,9.99,45300,2009
88665,"['Action', 'Adventure', 'RPG']",The Bard's Tale,9.99,41900,2005
88666,['Action'],Defence Alliance 2,Free,35420,2009
88667,['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,19.99,32430,2009
88669,['RPG'],Fallout 3: Game of the Year Edition,19.99,22370,2009
88670,"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,5.99,41802,2009
88671,['Simulation'],Build-A-Lot,9.99,38080,2007
88672,['Simulation'],Build-A-Lot 2: Town of the Year,9.99,38090,2008
88673,['Simulation'],Build-A-Lot 3: Passport to Europe,9.99,38100,2009
88674,"['Casual', 'Simulation']",Coconut Queen,9.99,38070,2009
88675,['Casual'],Roogoo,1.99,38210,2009
88676,"['Action', 'Adventure']",Devil May Cry 4,19.99,45700,2008
88677,"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,9.99,46410,2010
88678,['Simulation'],Build-A-Lot 4: Power Source,9.99,38110,2009
88679,"['Action', 'Free to Play', 'Indie']","Pirates, Vikings, and Knights II",Free,17570,2010
88680,['Casual'],Farm Frenzy 2,4.99,38130,2008
88681,['Casual'],Farm Frenzy 3: American Pie,9.99,38160,2010
88682,['Casual'],Farm Frenzy 3,9.99,38150,2009
88683,['Casual'],Farm Frenzy,4.99,38120,2007
88684,['Casual'],Farm Frenzy: Pizza Party,4.99,38140,2009
88685,['Casual'],Cake Mania Main Street™,6.99,36300,2010
88686,"['Strategy', 'Casual']",Westward® IV: All Aboard,6.99,36310,2010
88687,"['Adventure', 'Casual']",Iron Roses,6.99,36320,2010
88688,['Strategy'],UFO: Extraterrestrials Gold,9.99,37030,2010
88689,['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,19.99,32450,2010
88691,"['Action', 'Indie', 'Racing']",Super Laser  Racer,4.99,44100,2010
88692,['Strategy'],Hearts of Iron III: Soviet Infantry Pack DLC,0.99,25960,2010
88693,['Action'],NecroVisioN: Lost Company,6.99,46250,2010
88694,['Casual'],Cradle of Persia,9.99,38180,2007
88695,['Action'],Aliens vs. Predator Swarm Map Pack,7.49,10695,2010
88696,"['Action', 'Indie']",Serious Sam Classic: The First Encounter,9.99,41050,2001
88697,['Simulation'],Train Simulator: Fort Kent to Eagle Lake Route Add-On,19.99,24055,2010
88698,"['Action', 'RPG']",Mount &amp; Blade: Warband,19.99,48700,2010
88699,['Action'],Coniclysm,4.99,39900,2010
88700,"['Action', 'Indie']",Plain Sight,4.99,49900,2010
88701,['Action'],Lead and Gold: Gangs of the Wild West,9.99,42120,2010
88702,['Action'],Grand Theft Auto: Episodes from Liberty City,19.99,12220,2010
88703,"['Action', 'Adventure']",Dark Void™ Zero,4.99,45730,2010
88704,['Indie'],Fortix,0.99,45400,2010
88705,"['Action', 'Casual', 'Indie']",Beat Hazard,9.99,49600,2010
88706,['Adventure'],Sam &amp; Max: The Devil’s Playhouse,19.99,901399,2010
88707,"['Simulation', 'Strategy']",M.U.D. TV,9.99,43500,2010
88708,['Simulation'],Wings of Luftwaffe Add-on,4.99,45302,2010
88709,"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,4.99,40930,2010
88710,['Action'],AquaNox 2: Revelation,4.99,39640,2003
88711,['Action'],AquaNox,4.99,39630,2001
88712,"['Casual', 'Indie']",Fluttabyes,1.99,23150,2010
88713,['Casual'],Hidden Expedition: Titanic,9.99,50940,2006
88714,"['Casual', 'Indie']",Hidden Expedition: Amazon,9.99,50920,2008
88715,['Strategy'],Napoleon: Total War™ - Coalition Battle Pack,2.99,34178,2010
88716,['Casual'],Fitness Dash™,6.99,37340,2008
88717,['Casual'],Gemini Lost™,6.99,37390,2009
88718,['Casual'],DinerTown Detective Agency™,6.99,37310,2009
88719,['Casual'],Mahjong Roadshow™,6.99,37360,2007
88720,['Casual'],Hotel Dash™ Suite Success™,6.99,49000,2009
88721,['Casual'],Nightshift Legacy: The Jaguar's Eye™,6.99,37330,2010
88722,['Casual'],The Nightshift Code™,6.99,37320,2008
88723,['Casual'],TriJinx: A Kristine Kross Mystery™,6.99,37370,2007
88724,['Casual'],Valerie Porter and the Scarlet Scandal™,6.99,37380,2009
88725,"['Action', 'Adventure', 'Casual']",Biozone,9.99,19080,2010
88727,"['Action', 'Adventure']",Rocket Knight,14.99,19030,2010
88729,"['Action', 'Indie']",Flight of the Icarus,4.99,49800,2010
